CD3,CD4,CD5,CL_NR,TR1,TR2,TR3,TR4,DI1,DI2,DI3,DI4,EC1,EC2,EC3,IP1,IP2,IP3,IP4,IP5,IP6,IP7,IP8,IP9,IP10,IP11,IP13,IP14,PI1,PI2,PI3,CI1,CI2,CI3,CI4,CI5,CI6,CI7,CI8,CI9,TI1,TI2,TI3,TI4,TI5,TI6,TI7,TI8,TI9,TI10,TI11,TI12,BS1,BS2,BS3,BS4,BS5,BS6,CM0,CM1,CM2,CM3,CM4,FP1,FP2,FP3
2000,32,1,2,5,6,4,5,6,7,1,7,6,5,4,7,7,7,7,7,5,7,6,7,7,7,5,25,7,7,4,7,5,3,3,1,6,2,5,6,6,7,6,1,2,6,5,1,5,6,4,5,3,5,2,2,6,5,1,6,2,7,5,4,4,4
1999,5,1,1,3,5,2,6,2,7,1,6,6,5,6,5,6,2,6,6,3,2,5,6,4,2,3,40,6,3,3,4,5,3,4,2,4,2,7,5,4,6,6,2,2,5,6,1,6,5,3,5,6,6,5,5,5,3,1,3,4,7,3,3,3,3
2001,75,1,1,5,7,3,7,7,7,1,6,4,6,4,7,7,7,2,7,1,6,5,5,7,5,5,60,2,2,2,3,5,7,1,1,2,2,5,4,4,5,7,2,2,7,7,1,7,6,5,7,7,5,7,7,7,2,1,7,1,7,6,7,7,7
1991,214,1,1,6,5,3,5,7,4,3,2,5,4,4,7,7,7,7,7,3,7,6,7,7,5,4,-77,6,7,5,7,7,7,1,1,7,1,5,5,5,7,5,1,5,7,7,1,7,6,2,6,7,7,7,7,7,1,1,7,2,7,5,8,8,8
2003,10,1,1,5,5,3,6,5,7,1,6,7,5,3,7,7,2,2,6,1,7,7,7,3,1,5,70,7,5,6,4,6,5,6,1,6,1,5,6,4,7,7,1,1,2,4,1,6,5,6,6,6,6,4,6,6,3,1,3,5,6,5,8,3,8
2007,-66,1,1,6,5,6,6,7,7,1,2,2,4,2,4,7,4,3,7,1,7,7,6,5,5,3,100,7,7,7,4,7,3,2,1,7,3,4,7,6,5,7,1,1,5,4,1,7,5,5,4,7,5,7,7,3,4,1,4,2,7,1,4,2,7
1963,64,1,1,6,6,5,6,4,5,1,4,6,6,6,7,6,5,6,5,1,4,4,3,6,2,3,10,5,4,7,6,6,1,2,1,4,2,6,6,6,5,5,3,4,5,6,1,6,6,2,6,7,6,6,7,6,1,1,5,4,7,2,3,3,5
1988,65,1,1,5,5,5,5,6,5,2,5,5,4,3,6,5,3,6,6,5,7,5,6,5,2,3,25,4,3,4,5,4,2,2,2,5,3,5,4,4,5,5,2,2,3,4,1,6,4,5,5,5,5,4,6,6,2,1,4,3,6,6,5,5,5
2006,11,1,1,8,8,8,8,7,7,1,7,2,2,1,7,3,2,3,5,1,7,5,7,5,6,3,70,7,3,2,4,7,5,3,1,5,2,7,5,5,6,5,1,1,7,3,1,5,5,2,6,5,5,7,7,4,5,1,7,2,6,7,2,2,7
1945,3600,1,1,6,7,5,6,7,7,2,6,1,7,7,7,7,7,5,6,6,7,6,7,7,1,5,20,7,6,4,7,5,7,1,1,6,2,6,6,6,5,6,2,2,6,7,2,6,5,1,7,8,2,7,7,6,2,1,7,7,7,2,8,8,6
1996,470,1,1,5,6,5,6,4,5,2,2,3,5,4,4,6,6,3,6,2,7,5,7,5,2,5,50,6,7,6,5,5,6,3,2,5,3,4,5,5,2,4,3,5,5,6,2,6,3,4,5,6,7,6,6,6,2,1,6,6,7,6,6,6,7
2001,4,1,2,7,7,6,7,7,5,2,4,6,3,3,7,7,7,3,7,3,6,7,6,5,1,3,80,6,7,4,7,7,2,2,1,6,1,6,7,7,6,7,1,1,7,3,1,6,7,6,7,1,1,1,1,1,7,1,2,6,6,2,5,6,3
2010,5,1,1,2,6,3,6,2,7,1,7,4,4,3,6,7,7,5,7,5,7,7,7,7,7,3,80,3,4,3,2,6,7,7,1,5,2,7,6,6,3,4,2,1,7,7,2,7,7,1,5,4,6,6,1,1,1,1,1,7,3,1,7,4,7
